ChainID,store#,address,address2,city,state,zip,latitude,longitude,phone,hours,departments,New Store,Open Date,Comments
10,1,100 Independence Way,Liberty Tree Mall,Danvers,MA,01923,42.55217,-70.94,978-777-4252,"Sun: 11:00am-6:00pm, Mon-Sat: 9:00am-9:00pm",ACT,N,NULL,
10,2,160 Great Road (RTE 4),Bedford Shopping Center,Bedford,MA,01730,42.4915,-71.274,781-275-1750,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:00am-10:00pm",ACT,N,NULL,
10,3,211 Plain Street ,Meadow Brooke Center,Lowell,MA,01852,42.62439,-71.31962,978-454-4124 ,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:00am-10:00pm",LAY,N,NULL,
10,4,769 Iyanough Road,Cape Cod Mall,Hyannis,MA,02601,41.66467,-70.295,508-775-3740,"Sun: 10:00am-8:00pm, Mon-Sat 9:30am-9:00",ACT,N,NULL,
10,5,6700 Reistertown Road,The Plaza,Baltimore,MD,21215,39.35623,-76.70313,410-358-7556,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",LAY,N,NULL,
10,7,510 N. Main Street (Rte. 12),Marshalls Mall,Leominster,MA,01453,42.54792,-71.7629,978-537-8266,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:00am-10:00pm",ACT,N,NULL,
10,8,95 Washington Street,Village Shops,Canton,MA,02021,42.13823,-71.15031,781-828-9570,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",LAY,N,NULL,
10,9,275 Needham Street,Marshalls Plaza,Newton,MA,02464,42.31101,-71.21613,617-964-4987,"Sun: 9:00am-8:00pm, Mon-Thu: 9:00am-9:30pm, Fri-Sat: 9:00am-10:00pm",DEL,N,NULL,
10,10,50 Pleasant Street,Pleasant Shops Mall,S. Weymouth,MA,02190,42.17164,-70.95371,781-337-5816,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",,N,NULL,
10,11,1400 Boston Rd.,Boston Parker Plaza,Springfield,MA,01119,42.13833,-72.49667,413-783-1236,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",LAY,N,NULL,
10,12,1130 Silas Deane Highway,NULL,Wethersfield,CT,06109,41.6905,-72.65617,860-563-2887,"Sun: 11:00am-8:00pm, Mon-Thu: 9:30am-9:30pm, Fri-Sat: 9:30am-10:00pm",HOM$LAY,N,NULL,
